uid,offence,date,jail,mode,conditions,fine,appeal
2024canlii34194_1323A00601_1,cc_348(1)(e),2021-05-15,1y,jail-consecutive,,,
2024canlii34194_1323A00601_2,cc_334(b),2021-05-15,9m,jail-concurrent,,,
2024canlii34194_1323A00601_3,cc_334(b),2021-05-15,3m,jail-concurrent,,,
2024canlii34194_1323A00601_4,cc_430(4),2021-05-15,1m,jail-concurrent,,,
2024canlii34194_1323A00601_5,cc_320.15(1)#1),2021-05-15,1m,jail-concurrent,,,
2024canlii34194_1323A00601_6,cc_145(5),2021-12-24,1m,jail-concurrent,,,
2024canlii34194_1323A00601_7,cc_145(5),2022-06-21,2m,jail-concurrent,,,
2024canlii34194_1323A00601_8,cc_145(5),2023-09-23,3m,jail-concurrent,,,
2024canlii34194_1323A00601_9,nlhta_43(2),2022-04-19,7d,jail-concurrent,,,
2024canlii34194_1323A00601_10,nlhta_43(2),2022-04-22,7d,jail-concurrent,,,
2024canlii34194_1323A00601_11,nlhta_75(5)(b),2022-04-22,7d,jail-concurrent,,,
2024canlii34194_1323A00601_12,cdsa_5(2),2022-03-22,2y,jail-concurrent,,,
2024canlii34194_1323A00601_13,cdsa_5(2),2022-03-22,2y,jail-concurrent,,,
2024canlii34194_1323A00601_14,cdsa_5(2),2022-03-22,2y,jail-concurrent,,,
2024canlii34194_1323A00601_15,cdsa_5(2),2022-05-19,3y,jail-consecutive,,,
2024canlii18135_1323A00414_1,cc_88,2023-07-16,1y,jail-concurrent,,,
2024canlii18135_1323A00414_2,cc_346(1.1)(b),2023-07-16,1y,jail-concurrent,,,
2024canlii18135_1323A00414_3,cc_344(1)(b),2023-07-16,7y,jail-consecutive,,,
2024canlii18135_1323A00414_4,cc_267(a),2023-07-16,1y,jail-concurrent,,,
2024canlii18135_1323A00414_5,cc_145(5),2023-06-15,6m,jail-consecutive,,,
2024canlii18135_1323A00414_6,cc_145(5),2023-06-16,6m,jail-consecutive,,,
2024canlii16534_0121A02186_1,cc_320.14(1)#s,2021-09-16,180d,jail-consecutive,2y-probation,,
2024canlii16534_0121A02186_1,cc_320.18,2021-09-16,120d,jail-consecutive,2y-probation,,
2024canlii16534_0121A02186_1,cc_320.18,2021-09-16,120d,jail-concurrent,2y-probation,,
2024canlii16489_0123A01735_1,cc_320.14(1)#s,2023-06-07,120d,jail-consecutive,2y-probation,,
2024canlii16489_0123A02526_1,cc_320.15(1)#1,2023-08-16,120d,jail-consecutive,2y-probation,,
2024canlii16489_0123A02526_1,cc_145(5),2023-08-16,30d,jail-concurrent,2y-probation,,
2024canlii16489_0123A03615_1,cc_320.18,2023-11-20,30d,jail-concurrent,2y-probation,,
2024canlii16489_0123A03615_2,cc_145(5),2023-11-20,30d,jail-concurrent,2y-probation,,,
2024canlii11511_1322A00776_1,cdsa_5(2),2022-11-10,18m,jail-consecutive,,,
2024canlii10076_1323A00602_1,cc_129,2022-10-31,,,12m-discharge,,
2024canlii99_1322Y00002_1,cc_162.1_ycja,2024-01-05,,,12m-probation,,
2024canlii32_1323A00088_1,cdsa_5(2),2023-02-09,6m,jail-consecutive,,,
