uid,offence,date,jail,mode,conditions,fine,appeal
2024yktc47_21-00311_1,cc_145(4),2008-11-19,60d,jail-concurrent,,,
2024yktc47_21-00311_3,cc_320.18,2019-12-27,12m,jail-consecutive,,,
2024yktc43_22-00260A_1,cc_95,2022-07-09,30m,jail-consecutive,,,
2024yktc43_22-00260A_2,cdsa_5(2),2022-07-09,10m,jail-consecutive,,,
2024yktc38_23-00466_1,cc_753.3,2023-03-31,15m,jail-consecutive,,,
2024yktc38_23-00574_1,cc_266,2023-08-30,4m,jail-consecutive,,,
2024yktc30_22-00762_1,cc_236(b),2022-04-06,729d,jail-consecutive,3y-probation,,
2024yktc12_22-00128_1,cc_101,2021-10-26,8m,cso-consecutive,,,
2024yktc1_22-00049A_1,cc_267(c),2021-08-24,18m,cso-consecutive,,,
